level_0,comp_level,event_key,key,match_number,set_number,winning_alliance,team_keys,team_alliance,Teammate1,Teammate2,Teammate3,Opponent1,Opponent2,Opponent3,Taxied,Hang,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,TotalTeamPoints,WonGame,Week
375,qf,2022caav,2022caav_qf4m1,1,4,red,"['frc1572', 'frc3925', 'frc968', 'frc399', 'frc6060', 'frc2659']",blue,frc399,frc6060,frc2659,frc1572,frc3925,frc968,Yes,None,0,2,6,6,49,No,-1
989,sf,2022caph,2022caph_sf2m1,1,2,red,"['frc973', 'frc359', 'frc2945', 'frc3374', 'frc4415', 'frc2659']",blue,frc3374,frc4415,frc2659,frc973,frc359,frc2945,No,Mid,1,3,0,3,34,No,0
917,qm,2022caph,2022caph_qm1,1,1,red,"['frc5025', 'frc4414', 'frc359', 'frc8768', 'frc2659', 'frc8006']",blue,frc8768,frc2659,frc8006,frc5025,frc4414,frc359,No,None,0,0,0,1,6,No,0
915,qf,2022caph,2022caph_qf4m1,1,4,red,"['frc3374', 'frc4415', 'frc2659', 'frc2102', 'frc5104', 'frc972']",red,frc3374,frc4415,frc2659,frc2102,frc5104,frc972,Yes,Mid,0,4,0,18,91,Yes,0
990,sf,2022caph,2022caph_sf2m2,2,2,blue,"['frc973', 'frc359', 'frc2945', 'frc3374', 'frc4415', 'frc2659']",blue,frc3374,frc4415,frc2659,frc973,frc359,frc2945,No,None,0,6,0,13,75,Yes,0
916,qf,2022caph,2022caph_qf4m2,2,4,red,"['frc3374', 'frc4415', 'frc2659', 'frc2102', 'frc5104', 'frc972']",red,frc3374,frc4415,frc2659,frc2102,frc5104,frc972,Yes,None,0,6,0,15,79,Yes,0
376,qf,2022caav,2022caav_qf4m2,2,4,red,"['frc1572', 'frc3925', 'frc968', 'frc399', 'frc6060', 'frc2659']",blue,frc399,frc6060,frc2659,frc1572,frc3925,frc968,No,None,0,2,4,6,34,No,-1
991,sf,2022caph,2022caph_sf2m3,3,2,red,"['frc973', 'frc359', 'frc2945', 'frc3374', 'frc4415', 'frc2659']",blue,frc3374,frc4415,frc2659,frc973,frc359,frc2945,No,Mid,1,4,0,18,85,No,0
399,qm,2022caav,2022caav_qm3,3,1,red,"['frc1572', 'frc2659', 'frc968', 'frc2404', 'frc4079', 'frc6305']",red,frc1572,frc2659,frc968,frc2404,frc4079,frc6305,No,None,0,4,0,13,46,Yes,-1
983,qm,2022caph,2022caph_qm7,7,1,red,"['frc2659', 'frc3374', 'frc5104', 'frc4711', 'frc3759', 'frc8768']",red,frc2659,frc3374,frc5104,frc4711,frc3759,frc8768,Yes,None,0,3,0,14,50,Yes,0
446,qm,2022caav,2022caav_qm9,9,1,red,"['frc6060', 'frc3328', 'frc3669', 'frc4160', 'frc6989', 'frc2659']",blue,frc4160,frc6989,frc2659,frc6060,frc3328,frc3669,Yes,None,0,1,1,8,29,No,-1
921,qm,2022caph,2022caph_qm13,13,1,red,"['frc2659', 'frc972', 'frc2102', 'frc5817', 'frc5285', 'frc3128']",red,frc2659,frc972,frc2102,frc5817,frc5285,frc3128,Yes,None,0,4,5,3,35,Yes,0
381,qm,2022caav,2022caav_qm13,13,1,red,"['frc2584', 'frc2658', 'frc1538', 'frc3669', 'frc2659', 'frc4414']",blue,frc3669,frc2659,frc4414,frc2584,frc2658,frc1538,No,None,0,4,0,9,54,No,-1
931,qm,2022caph,2022caph_qm22,22,1,blue,"['frc3501', 'frc2659', 'frc968', 'frc8537', 'frc4400', 'frc5012']",red,frc3501,frc2659,frc968,frc8537,frc4400,frc5012,No,None,0,0,1,1,7,No,0
393,qm,2022caav,2022caav_qm24,24,1,blue,"['frc5199', 'frc6989', 'frc2584', 'frc2659', 'frc5818', 'frc3647']",blue,frc2659,frc5818,frc3647,frc5199,frc6989,frc2584,No,None,0,4,0,26,106,Yes,-1
936,qm,2022caph,2022caph_qm27,27,1,blue,"['frc589', 'frc5199', 'frc4', 'frc4415', 'frc359', 'frc2659']",blue,frc4415,frc359,frc2659,frc589,frc5199,frc4,No,None,0,3,1,16,82,Yes,0
398,qm,2022caav,2022caav_qm29,29,1,blue,"['frc7607', 'frc968', 'frc5526', 'frc6560', 'frc399', 'frc2659']",blue,frc6560,frc399,frc2659,frc7607,frc968,frc5526,No,None,0,3,12,13,73,Yes,-1
943,qm,2022caph,2022caph_qm33,33,1,red,"['frc5104', 'frc3128', 'frc1661', 'frc2659', 'frc687', 'frc2945']",blue,frc2659,frc687,frc2945,frc5104,frc3128,frc1661,No,None,0,1,0,3,18,No,0
404,qm,2022caav,2022caav_qm34,34,1,blue,"['frc2584', 'frc2659', 'frc981', 'frc399', 'frc5526', 'frc1572']",red,frc2584,frc2659,frc981,frc399,frc5526,frc1572,No,None,0,3,0,10,55,No,-1
409,qm,2022caav,2022caav_qm39,39,1,red,"['frc2659', 'frc4014', 'frc5869', 'frc3309', 'frc1572', 'frc2658']",red,frc2659,frc4014,frc5869,frc3309,frc1572,frc2658,Yes,None,0,1,0,13,59,Yes,-1
952,qm,2022caph,2022caph_qm41,41,1,blue,"['frc2659', 'frc1836', 'frc4501', 'frc972', 'frc4414', 'frc2945']",red,frc2659,frc1836,frc4501,frc972,frc4414,frc2945,No,None,0,0,0,1,22,No,0
416,qm,2022caav,2022caav_qm45,45,1,blue,"['frc6072', 'frc2429', 'frc2404', 'frc5012', 'frc5199', 'frc2659']",blue,frc5012,frc5199,frc2659,frc6072,frc2429,frc2404,Yes,None,0,0,0,16,55,Yes,-1
958,qm,2022caph,2022caph_qm47,47,1,blue,"['frc4', 'frc4817', 'frc968', 'frc4414', 'frc2659', 'frc3759']",blue,frc4414,frc2659,frc3759,frc4,frc4817,frc968,No,None,0,5,3,13,69,Yes,0
962,qm,2022caph,2022caph_qm50,50,1,red,"['frc8768', 'frc1678', 'frc589', 'frc5285', 'frc5199', 'frc2659']",blue,frc5285,frc5199,frc2659,frc8768,frc1678,frc589,No,None,0,2,0,13,54,No,0
425,qm,2022caav,2022caav_qm53,53,1,blue,"['frc4160', 'frc981', 'frc5137', 'frc3328', 'frc2659', 'frc3863']",blue,frc3328,frc2659,frc3863,frc4160,frc981,frc5137,No,None,0,1,1,12,48,Yes,-1
428,qm,2022caav,2022caav_qm56,56,1,red,"['frc4079', 'frc3491', 'frc2659', 'frc4014', 'frc5430', 'frc5012']",red,frc4079,frc3491,frc2659,frc4014,frc5430,frc5012,No,None,0,0,0,5,27,Yes,-1
968,qm,2022caph,2022caph_qm56,56,1,red,"['frc1836', 'frc3859', 'frc6560', 'frc4400', 'frc2659', 'frc1661']",blue,frc4400,frc2659,frc1661,frc1836,frc3859,frc6560,No,None,0,2,3,3,23,No,0
433,qm,2022caav,2022caav_qm60,60,1,red,"['frc2659', 'frc2658', 'frc5430', 'frc2404', 'frc1700', 'frc3863']",red,frc2659,frc2658,frc5430,frc2404,frc1700,frc3863,Yes,None,0,3,1,16,55,Yes,-1
974,qm,2022caph,2022caph_qm61,61,1,blue,"['frc5285', 'frc5012', 'frc3759', 'frc3128', 'frc4', 'frc2659']",blue,frc3128,frc4,frc2659,frc5285,frc5012,frc3759,No,None,1,2,6,2,44,Yes,0
440,qm,2022caav,2022caav_qm67,67,1,red,"['frc5869', 'frc4414', 'frc3925', 'frc2659', 'frc2429', 'frc5526']",blue,frc2659,frc2429,frc5526,frc5869,frc4414,frc3925,No,None,0,1,0,8,45,No,-1
981,qm,2022caph,2022caph_qm68,68,1,blue,"['frc3859', 'frc589', 'frc2659', 'frc687', 'frc8006', 'frc2102']",red,frc3859,frc589,frc2659,frc687,frc8006,frc2102,Yes,None,0,1,6,1,30,No,0
